ID,Product Name,Description,Price,Tags
1,Affordable Wireless Headphones,Budget-friendly Bluetooth headphones with noise cancellation for everyday use.,50,"affordable, ANC, Bluetooth"
2,Premium Noise-Cancelling Headphones,High-end over-ear headphones with superior noise cancellation and premium sound quality.,300,"premium, over-ear, noise"
3,Compact Wireless Earbuds,Lightweight earbuds with good sound quality and moderate noise isolation.,75,"earbuds, compact, Bluetooth"
4,Gaming Headset with Mic,"Over-ear headset with a noise-isolating microphone, designed for gamers.",120,"gaming, noise-isolating, mic"
5,Budget Bluetooth Earphones,Budget friendly earphones with decent sound quality and wireless connectivity.,30,"affordable, Bluetooth, earphones"
6,Studio-Grade Over-Ear Headphones,"Professional headphones with exceptional sound clarity, ideal for studio work.",400,"studio, over-ear, premium"
7,Waterproof Bluetooth Speaker,Portable wireless speaker with waterproof design and excellent bass response.,100,"waterproof, Bluetooth, speaker"
8,Smart Noise-Cancelling Earbuds,High-tech earbuds with active noise cancellation and smart touch controls.,200,"smart, ANC, earbuds"
9,Kids’ Headphones,Durable headphones with volume-limiting technology to protect children’s ears.,25,"kids, safe, headphones"
10,Travel-Friendly ANC Headphones,"Foldable, lightweight noise-cancelling headphones perfect for travel.",150,"travel, lightweight, ANC"
